instance_folder,n_configs,his_median,his_q25,his_q75,his_iqr,att_median,att_q25,att_q75,att_iqr,rep_his_len,rep_max_attempts,rep_rank,rep_cfg_id,log_path
E-n22-k4,4,1092.5,1079.25,1216.5,137.25,24.0,22.75,30.0,7.25,1098,24,4,3,./E-n22-k4-p1/irace.log
E-n23-k3,3,1024.0,956.0,1110.0,154.0,236.0,196.5,293.0,96.5,1024,236,1,1,./E-n23-k3-p1/irace.log
E-n30-k3,10,3569.0,2761.25,4602.0,1840.75,50.5,22.75,116.25,93.5,3243,60,9,62,./E-n30-k3-p2/irace.log
E-n33-k4,1,1273.0,1273.0,1273.0,0.0,14.0,14.0,14.0,0.0,1273,14,1,1,./E-n33-k4-p1/irace.log
E-n51-k5,3,3192.0,2980.5,3615.0,634.5,5.0,3.5,6.5,3.0,2769,5,3,8,./E-n51-k5-p1/irace.log
E-n76-k7,2,3523.5,3333.25,3713.75,380.5,1.0,1.0,1.0,0.0,3904,1,1,203,./E-n76-k7/irace.log
E-n101-k8,3,1874.0,1821.0,2099.0,278.0,7.0,6.5,7.5,1.0,1768,7,3,131,./E-n101-k8-p2/irace.log
X-n143-k7,3,4641.0,3817.5,4835.5,1018.0,78.0,75.0,85.5,10.5,4641,78,1,127,./X-n143-k7/irace.log
X-n214-k11,4,4097.0,3980.5,4144.5,164.0,408.5,336.5,479.25,142.75,4106,338,3,181,./X-n214-k11-p2/irace.log
X-n351-k40,3,7494.0,7093.0,7609.0,516.0,346.0,345.5,417.0,71.5,7494,346,3,113,./X-n351-k40/irace.log
X-n459-k26,10,4914.0,4706.75,4935.0,228.25,398.5,388.0,425.5,37.5,4912,398,5,104,./X-n459-k26/irace.log
X-n573-k30,2,4597.5,4315.25,4879.75,564.5,384.0,343.0,425.0,82.0,5162,302,2,210,./X-n573-k30/irace.log
X-n685-k75,2,8730.0,8692.0,8768.0,76.0,498.0,498.0,498.0,0.0,8806,498,2,187,./X-n685-k75/irace.log
X-n749-k98,2,8515.0,8499.5,8530.5,31.0,478.0,469.5,486.5,17.0,8546,461,2,27,./X-n749-k98/irace.log
X-n819-k171,3,16000,16000,16000,0,360,300,390,90,16000,300,,,
X-n916-k207,3,12000,12000,14000,2000,420,420,500,80,12000,420,,,
X-n1001-k43,3,6027.0,6023.5,6028.5,5.0,444.0,432.0,468.0,36.0,6030,444,1,127,./X-n1001-k43/irace.log
E-n29-k4-s7,3,1895.0,1620.0,2061.0,441.0,47.0,40.5,61.0,20.5,1895,47,1,1,./E-n29-k4-s7-p1/irace.log
E-n30-k3-s7,3,930.0,914.5,1054.5,140.0,192.0,151.5,234.0,82.5,930,192,1,1,./E-n30-k3-s7-p1/irace.log
E-n35-k3-s5,1,749.0,749.0,749.0,0.0,59.0,59.0,59.0,0.0,749,59,1,1,./E-n35-k3-s5-p1/irace.log
E-n37-k4-s4,10,9365.0,9216.25,9506.25,290.0,32.5,21.25,36.25,15.0,9393,34,2,158,./E-n37-k4-s4/irace.log
E-n60-k5-s9,1,2280.0,2280.0,2280.0,0.0,5.0,5.0,5.0,0.0,2280,5,1,1,./E-n60-k5-s9-p1/irace.log
E-n89-k7-s13,10,3729.5,3517.75,3979.0,461.25,1.0,1.0,2.0,1.0,3736,1,2,123,./E-n89-k7-s13/irace.log
E-n112-k8-s11,2,4620.5,4418.75,4822.25,403.5,2.5,1.75,3.25,1.5,5024,1,1,17,./E-n112-k8-s11/irace.log
M-n110-k10-s9,4,1722.5,1538.5,2068.5,530.0,116.0,84.75,139.0,54.25,1737,133,4,1,./M-n110-k10-s9-p1/irace.log
M-n126-k7-s5,10,4966.5,4159.75,5743.25,1583.5,41.5,23.25,45.75,22.5,4449,45,7,199,./M-n126-k7-s5/irace.log
M-n163-k12-s12,5,3043.0,3040.0,3084.0,44.0,15.0,15.0,19.0,4.0,3043,15,4,167,./M-n163-k12-s12-p1/irace.log
M-n212-k16-s12,4,1347.0,1303.5,1471.25,167.75,341.5,324.0,373.5,49.5,1351,341,3,220,./M-n212-k16-s12/irace.log
F-n49-k4-s4,2,1978.5,1809.25,2147.75,338.5,1.5,1.25,1.75,0.5,2317,1,1,26,./F-n49-k4-s4/irace.log
F-n80-k4-s8,3,1853.0,1813.0,2158.5,345.5,8.0,4.5,8.5,4.0,1853,8,1,1,./F-n80-k4-s8/irace.log
F-n140-k5-s5,3,373.0,349.0,373.5,24.5,58.0,55.0,62.5,7.5,373,58,2,147,./F-n140-k5-s5/irace.log
X-n147-k7-s4,3,4672.0,3930.5,4827.0,896.5,107.0,92.0,140.5,48.5,4672,107,1,140,./X-n147-k7-s4/irace.log
X-n221-k11-s7,5,4561.0,4293.0,4570.0,277.0,309.0,309.0,329.0,20.0,4293,309,2,153,./X-n221-k11-s7/irace.log
X-n360-k40-s9,4,8609.0,8556.0,8786.75,230.75,329.5,304.0,336.0,32.0,8620,326,2,220,./X-n360-k40-s9/irace.log
X-n469-k26-s10,10,5238.5,5010.25,5447.0,436.75,300.0,282.25,310.0,27.75,5132,294,9,175,./X-n469-k26-s10/irace.log
X-n577-k30-s4,10,5269.5,5220.25,5442.5,222.25,214.0,213.0,245.5,32.5,5295,213,3,125,./X-n577-k30-s4/irace.log
X-n698-k75-s13,3,10773.0,10769.0,10969.5,200.5,438.0,437.5,466.0,28.5,10773,438,3,73,./X-n698-k75-s13/irace.log
X-n759-k98-s10,10,10704,10163.75,11018.25,854.5,413.5,394.75,442.5,47.75,10651,406,,,
X-n830-k171-s11,3,12778,12778,12778,0,500,500,500,0,12778,500,,,
X-n920-k207-s4,3,14000,14000,16000,2000,486,450,486,36,14000,486,,,
X-n1006-k43-s5,10,6561.0,6485.5,6616.0,130.5,462.5,444.25,478.0,33.75,6595,468,2,90,./X-n1006-k43-s5/irace.log